,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
63,56,Tunisia,998230,,"27,784",,"950,873",,"19,573",222,"83,022","2,311","4,343,907","361,281"
195,188,Saint Martin,9877,,63,,"1,399",,"8,415",7,"248,422","1,585","78,366","1,971,025"
131,124,Angola,98741,,"1,900",,"96,680",,161,,"2,857",55,"1,428,954","41,348"
64,57,Nepal,977076,+92,"11,938",+2,"957,167",+354,"7,971",100,"32,564",398,"5,426,067","180,838"
196,189,Eritrea,9701,,103,,"9,594",,4,,"2,674",28,"23,693","6,531"
197,190,Sint Maarten,9561,,85,,"9,430",,46,10,"218,872","1,946","62,056","1,420,598"
0,,North America,94917987,"+2,524","1,403,415",+63,"65,980,144","+8,433","27,534,428","13,871",,,,
198,191,Monaco,9411,,51,,"9,190",,170,4,"237,035","1,285","54,960","1,384,278"
65,58,Belarus,919736,,"6,480",,"908,132",,"5,124",,"97,387",686,"12,438,809","1,317,089"
66,59,Lithuania,902554,,"8,421",,"808,647",,"85,486",95,"339,394","3,167","7,746,771","2,913,073"
229,222,MS Zaandam,9,,2,,7,,0,,,,,
67,60,Slovenia,895174,"+2,525","6,317",+10,"852,740","+7,153","36,117",94,"430,494","3,038","2,572,086","1,236,929"
68,61,Bolivia,893395,+65,"21,438",+6,"789,710","+1,247","82,247",220,"74,843","1,796","2,669,468","223,631"
18,11,Argentina,8900656,,"126,152",,"8,682,190",,"92,314","1,136","193,985","2,749","34,257,979","746,633"
69,62,UAE,880451,+478,"2,301",,"835,526","+1,485","42,624",,"87,273",228,"138,186,824","13,697,503"
199,192,Niger,8754,,307,,"8,432",,15,1,341,12,"228,839","8,919"
132,125,DRC,86018,,"1,335",,"50,930",,"33,753",,914,14,"846,704","9,001"
133,126,Senegal,85699,+6,"1,960",,"83,651",+20,88,4,"4,904",112,"1,015,779","58,129"
134,127,Malawi,85339,,"2,615",,"75,600",,"7,124",67,"4,278",131,"546,965","27,419"
70,63,Uruguay,842462,,"6,985",,"812,907",,"22,570",119,"241,138","1,999","5,705,619","1,633,121"
71,64,Ecuador,827760,,"35,223",,N/A,N/A,N/A,759,"45,765","1,947","2,470,170","136,571"
135,128,Ivory Coast,81483,,793,,"79,892",,798,,"2,967",29,"1,417,847","51,633"
223,216,Macao,81,,,,79,,2,,122,,"5,318","8,009"
72,65,Costa Rica,806928,,"8,037",,"667,558",,"131,333",121,"156,042","1,554","3,712,867","717,985"
8,1,USA,80647343,,"975,150",,"53,500,262",,"26,171,931","7,770","241,300","2,918","950,519,402","2,843,988"
200,193,Comoros,8033,,160,,"7,855",,18,,"8,923",178,,
201,194,Guinea-Bissau,8001,,167,,"6,978",,856,6,"3,912",82,"123,632","60,455"
73,66,Azerbaijan,786502,+832,"9,438",+21,"767,702","+2,329","9,362",,"76,429",917,"6,563,829","637,842"
136,129,Suriname,78216,+93,"1,317",+1,"49,357",+2,"27,542",3,"131,379","2,212","228,796","384,308"
74,67,Guatemala,776991,,"16,971",,"716,900",,"43,120",5,"42,080",919,"3,922,624","212,440"
137,130,French Guiana,77652,,391,,"11,254",,"66,007",6,"249,282","1,255","591,966","1,900,354"
202,195,Sierra Leone,7665,,125,,N/A,N/A,N/A,,930,15,"259,958","31,526"
203,196,Caribbean Netherlands,7575,,31,,"7,482",,62,,"284,486","1,164","30,126","1,131,408"
75,68,Panama,755498,,"8,083",,"741,856",,"5,559",26,"170,644","1,826","5,517,801","1,246,306"
76,69,Saudi Arabia,745590,+563,"9,001",+3,"724,388",+839,"12,201",554,"20,878",252,"40,769,021","1,141,595"
204,197,Antigua and Barbuda,7437,,135,,"7,253",,49,1,"74,915","1,360","18,901","190,394"
205,198,Liberia,7384,,294,,"5,747",,"1,343",2,"1,405",56,"139,824","26,610"
206,199,Chad,7255,,190,,"4,874",,"2,191",,422,11,"191,341","11,120"
77,70,Singapore,724424,,"1,019",,"669,243",,"54,162",49,"122,232",172,"23,141,120","3,904,608"
6,,,721,,15,,706,,0,0,,,,
138,131,Malta,71361,+86,605,,"69,630",+64,"1,126",3,"160,907","1,364","1,211,456","2,731,624"
218,211,Diamond Princess,712,,13,,699,,0,,,,,
19,12,Iran,7060741,"+9,312","137,064",+226,"6,665,702","+13,514","257,975","4,027","82,317","1,598","47,252,235","550,887"
207,200,Solomon Islands,7049,,99,,"1,757",,"5,193",3,"9,862",139,"5,117","7,159"
230,223,Marshall Islands,7,,,,7,,0,,117,,,
139,132,Eswatini,69160,,"1,390",,"67,675",,95,11,"58,606","1,178","477,592","404,713"
140,133,Brunei,67762,"+4,220",127,+2,"36,213","+2,701","31,422",13,"152,472",286,"712,994","1,604,314"
208,201,St. Vincent Grenadines,6740,,106,,"6,604",,30,,"60,435",950,"98,236","880,851"
141,134,French Polynesia,66699,,639,,N/A,N/A,N/A,7,"235,187","2,253",,
78,71,Latvia,662644,"+9,524","5,256",+17,"517,737","+4,139","139,651",74,"357,872","2,839","6,730,390","3,634,862"
79,72,Finland,657443,"+19,686","2,380",+14,"46,000",,"609,063",35,"118,352",428,"9,950,105","1,791,201"
80,73,Sri Lanka,646034,,"16,222",,"608,924",,"20,888",,"29,962",752,"6,282,076","291,348"
81,74,Paraguay,641767,,"18,367",,"609,477",,"13,923",144,"88,182","2,524","2,529,065","347,506"
142,135,Fiji,63930,,834,,"61,908",,"1,188",,"70,468",919,"497,039","547,874"
143,136,Madagascar,63659,,"1,366",,"58,677",,"3,616",61,"2,205",47,"398,434","13,801"
20,13,Netherlands,6361626,,"21,554",,"4,332,679",,"2,007,393",173,"369,911","1,253","21,107,399","1,227,336"
144,137,Guyana,62921,,"1,220",,"61,219",,482,8,"79,361","1,539","539,596","680,582"
82,75,Kuwait,619894,,"2,538",,"608,143",,"9,213",56,"141,682",580,"7,645,362","1,747,416"
145,138,Sudan,61458,,"3,908",,"40,329",,"17,221",,"1,349",86,"562,941","12,360"
209,202,British Virgin Islands,6085,,62,,N/A,N/A,N/A,6,"199,084","2,028","99,936","3,269,622"
21,14,Colombia,6064583,,"138,767",,"5,890,563",,"35,253",342,"117,118","2,680","33,194,144","641,038"
210,203,Sao Tome and Principe,5934,,72,,"5,852",,10,,"26,268",319,"29,036","128,534"
83,76,Myanmar,587891,,"19,368",,"534,774",,"33,749",,"10,686",352,"7,120,830","129,435"
211,204,Turks and Caicos,5867,,36,,"5,787",,44,4,"148,213",909,"419,792","10,604,825"
146,139,Mauritania,58633,,979,,"57,604",,50,30,"12,084",202,"745,392","153,624"
84,77,Palestine,576078,,"5,226",,"555,027",,"15,825",104,"108,738",986,"3,078,533","581,092"
85,78,Dominican Republic,574556,,"4,368",,"568,322",,"1,866",40,"52,099",396,"3,115,197","282,475"
22,15,Poland,5680034,"+12,984","111,586",+269,"5,073,307","+16,138","495,141",807,"150,353","2,954","33,715,893","892,477"
147,140,Belize,56694,,650,,"54,741",,"1,303",6,"138,417","1,587","501,604","1,224,655"
23,16,Indonesia,5589176,"+24,728","148,660",+325,"4,901,302","+39,887","539,214","2,911","20,082",534,"84,648,008","304,141"
148,141,Cabo Verde,55886,,401,,"55,414",,71,23,"98,739",708,"400,982","708,453"
212,205,Saint Kitts and Nevis,5530,,42,,"5,480",,8,1,"102,744",780,"65,141","1,210,282"
149,142,Barbados,55165,,316,,"52,864",,"1,985",,"191,573","1,097","585,575","2,033,543"
24,17,Mexico,5508629,"+2,524","318,149",+63,"4,781,564","+8,433","408,916","4,798","41,993","2,425","15,089,355","115,029"
150,143,New Caledonia,54856,+679,300,+1,"47,531","+1,058","7,025",38,"189,127","1,034","98,964","341,199"
151,144,Syria,54575,,"3,075",,"47,133",,"4,367",,"2,998",169,"146,269","8,035"
2,,South America,54270544,+158,"1,257,964",+7,"47,977,723","+1,096","5,034,857","13,339",,,,
86,79,Venezuela,515124,,"5,636",,"503,133",,"6,355",230,"18,201",199,"3,359,014","118,683"
87,80,Bahrain,514883,,"1,454",,"487,781",,"25,648",16,"286,131",808,"9,397,068","5,222,134"
152,145,Channel Islands,51002,,143,,"48,104",,"2,755",,"288,930",810,"1,209,938","6,854,396"
88,81,Moldova,501800,,"11,216",,"476,641",,"13,943",96,"124,875","2,791","3,024,067","752,552"
25,18,Japan,5005892,"+55,243","23,633",+187,"4,264,616","+74,491","717,643","1,456","39,782",188,"38,993,335","309,878"
89,82,Libya,495115,+669,"6,269",+8,"466,128","+2,366","22,718",125,"70,467",892,"2,426,519","345,355"
90,83,Estonia,494430,,"2,236",,"368,812",,"123,382",25,"372,308","1,684","3,100,487","2,334,679"
91,84,Egypt,483771,,"24,074",,"413,482",,"46,215",122,"4,584",228,"3,693,367","34,998"
26,19,Ukraine,4809624,,"105,505",,"4,058,020",,"646,099",177,"111,082","2,437","19,521,252","450,857"
153,146,Gabon,47543,,303,,"46,561",,679,1,"20,557",131,"1,571,354","679,440"
92,85,Ethiopia,468727,,"7,462",,"417,161",,"44,104",86,"3,917",62,"4,505,854","37,649"
93,86,Mongolia,464516,+305,"2,170",+2,"313,256",,"149,090",192,"138,012",645,"4,030,048","1,197,361"
219,212,Wallis and Futuna,454,,7,,438,,9,,"41,602",641,"20,508","1,879,227"
7,,World,437636893,"+533,972","5,977,886","+2,631","369,282,666","+833,085","62,376,341","74,633","56,145",766.9,,
9,2,India,42931045,,"514,054",,"42,324,550",,"92,441","8,944","30,610",367,"767,481,346","547,226"
94,87,Armenia,420156,+324,"8,478",+17,"402,916","+1,239","8,762",,"141,351","2,852","2,898,664","975,185"
224,217,Cook Islands,42,,,,4,,38,,"2,388",,"1,754","99,710"
154,147,Papua New Guinea,41290,,638,,"39,344",,"1,308",7,"4,475",69,"249,149","27,000"
95,88,Honduras,411212,,"10,720",,"127,663",,"272,829",105,"40,451","1,055","1,263,329","124,274"
155,148,Seychelles,39336,,163,,"38,731",,442,,"395,910","1,641",,
156,149,Curaçao,38944,,261,,"38,386",,297,3,"235,730","1,580","492,011","2,978,167"
96,89,Oman,382244,,"4,244",,"368,677",,"9,323",60,"71,827",797,"25,000,000","4,697,736"
157,150,Burundi,38127,+25,38,,773,,"37,316",,"3,056",3,"345,742","27,710"
158,151,Andorra,37999,,151,,"37,135",,713,14,"490,500","1,949","249,838","3,224,965"
213,206,Palau,3781,,6,,"3,140",,635,5,"207,326",329,"36,979","2,027,691"
214,207,St. Barth,3758,,6,,N/A,N/A,N/A,,"378,564",604,"56,491","5,690,642"
97,90,Bosnia and Herzegovina,371202,,"15,459",,"192,218",,"163,525",,"114,322","4,761","1,699,911","523,536"
159,152,Togo,36806,+8,272,,"36,410",,124,,"4,280",32,"691,047","80,353"
27,20,South Africa,3674042,,"99,412",,"3,543,109",,"31,521",546,"60,680","1,642","23,085,457","381,275"
160,153,Mayotte,36662,,187,,"2,964",,"33,511",,"129,220",659,"176,919","623,576"
28,21,Philippines,3663059,"+1,067","56,451",,"3,555,016","+1,652","51,592",298,"32,706",504,"28,203,435","251,820"
161,154,Guinea,36397,,440,,"32,939",,"3,018",49,"2,652",32,"587,607","42,820"
29,22,Israel,3634510,,"10,198",,"3,547,010",,"77,302",534,"389,718","1,094","41,373,364","4,436,346"
5,,Oceania,3596362,"+43,700","7,801",+40,"3,210,285","+1,457","378,276",195,,,,
30,23,Czechia,3587871,"+10,159","38,685",+18,"3,463,303","+13,388","85,883",203,"334,006","3,601","52,650,835","4,901,435"
98,91,Qatar,357292,+310,670,,"353,682",+543,"2,940",20,"127,250",239,"3,376,329","1,202,480"
31,24,Belgium,3557314,"+2,498","30,179",+17,"3,025,804","+48,201","501,331",241,"304,741","2,585","31,718,358","2,717,183"
220,213,Tonga,355,,,,177,,178,,"3,297",,,
32,25,Peru,3517260,,"210,672",,N/A,N/A,N/A,975,"104,267","6,245","27,364,060","811,194"
33,26,Vietnam,3443485,,"40,252",,"2,438,951",,"964,282","3,473","34,856",407,"79,198,980","801,687"
34,27,Malaysia,3442736,,"32,749",,"3,116,564",,"293,423",361,"104,157",991,"49,602,479","1,500,681"
162,155,Faeroe Islands,34237,,28,,"7,693",,"26,516",5,"696,284",569,"778,000","15,822,334"
163,156,Aruba,33684,,211,,"33,418",,55,6,"313,287","1,962","177,885","1,654,467"
164,157,Tanzania,33620,,798,,N/A,N/A,N/A,7,537,13,,
165,158,Bahamas,33135,,771,,"26,221",,"6,143",9,"82,947","1,930","220,353","551,609"
225,218,Samoa,33,,,,3,,30,,165,,,
35,28,Canada,3292980,,"36,602",,"3,145,873",,"110,505",666,"85,999",956,"58,130,321","1,518,131"
36,29,S. Korea,3273449,"+138,993","8,170",+112,"969,524",,"2,295,755",727,"63,757",159,"15,804,065","307,817"
37,30,Portugal,3262618,,"21,063",,"2,785,374",,"456,181",102,"321,522","2,076","37,805,639","3,725,643"
166,159,Lesotho,32612,,696,,"23,343",,"8,573",,"15,026",321,"398,053","183,401"
38,31,Australia,3236095,"+25,017","5,210",+39,"3,001,687",,"229,198",131,"124,512",200,"63,589,227","2,446,653"
99,92,Kenya,322946,,"5,639",,"303,261",,"14,046",4,"5,794",101,"3,371,198","60,488"
100,93,Cyprus,322516,,856,,"124,370",,"197,290",60,"263,940",701,"9,477,138","7,755,876"
167,160,Mauritius,31731,,786,,"27,594",,"3,351",,"24,882",616,"358,675","281,255"
101,94,Zambia,312750,,"3,952",,"307,102",,"1,696",1,"16,258",205,"3,270,113","169,995"
